pid,ppid,name,exe,username,status,create_time,cpu_percent,memory_rss,num_threads,num_fds,cmdline_len,is_system_path,is_temp_path,platform,exe_sha256
6930,5919,dotnet,/home/phuong/.config/Code/User/globalStorage/ms-dotnettools.vscode-dotnet-runtime/.dotnet/10.0.0~x64/dotnet,phuong,sleeping,1780306856.74,0.0,65433600,10,168,372,0,0,linux,b3e9698b9e5e68d716115f7cc3cc98c939f479f90977c158d67b1740353c334c
7026,5919,python,/usr/bin/python3.14,phuong,running,1780306857.35,0.0,138285056,19,121,150,1,0,linux,3abc7e559acf38f025a7422a3033b068d9baef0bbe4e4290233a4155a0bbfb84
7149,5919,code,/opt/visual-studio-code/code,phuong,sleeping,1780306858.94,0.0,450371584,12,85,150,0,0,linux,3ffbbab942590ffb9640cc7375ee0332628721606889bd597d319fa26a68ae3c
7284,5919,Updates,/home/phuong/.vscode/extensions/vscjava.migrate-java-to-azure-1.20.0-linux-x64/node_modules/@microsoft/typescript-updater-linux-x64/bin/Updates,phuong,sleeping,1780306861.51,0.0,56061952,13,145,149,0,0,linux,eee6a6fa2b1b320adfe2f3d787ddc9c9d58d6bfde852906458f99617a44990f4
10958,5919,python,/usr/bin/python3.14,phuong,sleeping,1780307077.64,0.0,252334080,26,123,150,1,0,linux,3abc7e559acf38f025a7422a3033b068d9baef0bbe4e4290233a4155a0bbfb84
12376,5919,code,/opt/visual-studio-code/code,phuong,sleeping,1780307192.89,0.0,116146176,8,86,174,0,0,linux,3ffbbab942590ffb9640cc7375ee0332628721606889bd597d319fa26a68ae3c
13957,2,kworker/u33:2-rb_allocator,,root,idle,1780307323.37,0.0,0,1,-1,0,0,0,linux,
15215,4908,msedge,/opt/microsoft/msedge/msedge,phuong,sleeping,1780307429.36,0.0,173805568,15,35,781,0,0,linux,11079d46aa0af4324956a3c91bf7d66085ec4d35f0226f8801792fe3af9eeec4
16143,2,kworker/6:0-events,,root,idle,1780307506.45,0.0,0,1,-1,0,0,0,linux,
18518,2,kworker/2:0,,root,idle,1780307697.12,0.0,0,1,-1,0,0,0,linux,
19290,2,kworker/3:0-events,,root,idle,1780307760.76,0.0,0,1,-1,0,0,0,linux,
19384,4908,msedge,/opt/microsoft/msedge/msedge,phuong,sleeping,1780307768.63,0.0,249208832,15,40,782,0,0,linux,11079d46aa0af4324956a3c91bf7d66085ec4d35f0226f8801792fe3af9eeec4
19536,2,kworker/u32:3-flush-259:1,,root,idle,1780307783.34,0.0,0,1,-1,0,0,0,linux,
22550,2,kworker/4:0-mm_percpu_wq,,root,idle,1780307974.01,0.0,0,1,-1,0,0,0,linux,
23160,2,kworker/0:2,,root,idle,1780308023.4,0.0,0,1,-1,0,0,0,linux,
23256,5919,AIServiceLocalPackage,/home/phuong/.vscode/extensions/ms-azuretools.vscode-azure-github-copilot-1.0.209-linux-x64/dist/node_modules/aidriver.linux-x64/AIServiceLocalPackage,phuong,sleeping,1780308031.17,0.0,160161792,28,394,221,0,0,linux,932eb86e981a5858bac190332313c1f20722fa4df2bf4d24f21684800e015805
23295,5919,azmcp,/home/phuong/.vscode/extensions/ms-azuretools.vscode-azure-mcp-server-2.0.43-linux-x64/server/azmcp,phuong,sleeping,1780308031.78,0.0,112664576,18,349,129,0,0,linux,1c8b39331833773f27d738c824c9d64be4b1ce4bbdad58a7ca48b547439c8017
23364,2,kworker/u33:0-i915_flip,,root,idle,1780308035.24,0.0,0,1,-1,0,0,0,linux,
25005,2,kworker/7:0-events,,root,idle,1780308174.88,0.0,0,1,-1,0,0,0,linux,
25510,4908,msedge,/opt/microsoft/msedge/msedge,phuong,sleeping,1780308211.84,0.0,595083264,22,73,783,0,0,linux,11079d46aa0af4324956a3c91bf7d66085ec4d35f0226f8801792fe3af9eeec4
25578,4908,msedge,/opt/microsoft/msedge/msedge,phuong,sleeping,1780308214.42,0.0,145510400,14,39,781,0,0,linux,11079d46aa0af4324956a3c91bf7d66085ec4d35f0226f8801792fe3af9eeec4
25600,4908,msedge,/opt/microsoft/msedge/msedge,phuong,sleeping,1780308215.03,0.0,118652928,16,34,781,0,0,linux,11079d46aa0af4324956a3c91bf7d66085ec4d35f0226f8801792fe3af9eeec4
25609,4908,msedge,/opt/microsoft/msedge/msedge,phuong,sleeping,1780308215.45,0.0,50851840,6,23,695,0,0,linux,11079d46aa0af4324956a3c91bf7d66085ec4d35f0226f8801792fe3af9eeec4
25619,4908,msedge,/opt/microsoft/msedge/msedge,phuong,sleeping,1780308215.62,0.0,86392832,9,33,781,0,0,linux,11079d46aa0af4324956a3c91bf7d66085ec4d35f0226f8801792fe3af9eeec4
25667,4889,msedge,/opt/microsoft/msedge/msedge,phuong,sleeping,1780308218.31,0.0,92930048,8,22,671,0,0,linux,11079d46aa0af4324956a3c91bf7d66085ec4d35f0226f8801792fe3af9eeec4
25865,5919,code,/opt/visual-studio-code/code,phuong,sleeping,1780308233.42,0.0,104333312,8,88,160,0,0,linux,3ffbbab942590ffb9640cc7375ee0332628721606889bd597d319fa26a68ae3c
26255,2,kworker/u32:2-events_unbound,,root,idle,1780308268.21,0.0,0,1,-1,0,0,0,linux,
26493,2,kworker/4:2-mm_percpu_wq,,root,idle,1780308283.82,0.0,0,1,-1,0,0,0,linux,
26495,5919,code,/opt/visual-studio-code/code,phuong,sleeping,1780308284.32,0.0,88682496,8,89,163,0,0,linux,3ffbbab942590ffb9640cc7375ee0332628721606889bd597d319fa26a68ae3c
26770,2,kworker/u32:4-ext4-rsv-conversion,,root,idle,1780308308.5,0.0,0,1,-1,0,0,0,linux,
26771,2,kworker/u32:5-events_unbound,,root,idle,1780308308.5,0.0,0,1,-1,0,0,0,linux,
